区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
房山,首开熙悦山澜庭,3室1厅2卫,东南 北,5500,长阳,整租,98.00
丰台,gogo新世代,1室0厅1卫,西,5600,方庄,整租,46.39
丰台,沸城,3室1厅1卫,南 西,5200,卢沟桥,整租,111.00
昌平,冠庭园,1室1厅1卫,南 北,5300,回龙观,整租,60.89
昌平,金隅万科城二期,2室1厅1卫,东南,5200,鼓楼大街,整租,85.00
朝阳,福瑞四季,1室1厅1卫,东北,5300,常营,整租,65.00
石景山,模式口南里,3室1厅1卫,南 北,5500,苹果园,整租,79.38
朝阳,关东店北街,2室1厅1卫,南,5300,东大桥,整租,61.07
海淀,育新花园,1室1厅1卫,南,5300,西三旗,整租,51.60
昌平,金隅万科城二期,3室1厅1卫,南 西,5500,鼓楼大街,整租,88.93
丰台,同馨家园,2室1厅1卫,南 北,5500,青塔,整租,79.03
丰台,精图小区55号院,2室1厅1卫,南,5600,太平桥,整租,78.01
丰台,优筑,2室1厅1卫,东 北,5600,玉泉营,整租,78.00
海淀,太平路40号院,2室1厅1卫,南 北,5400,五棵松,整租,57.00
丰台,四方景园五区,2室1厅1卫,西南,5200,成寿寺,整租,65.25
海淀,朱各庄小区,1室1厅1卫,南,5600,万寿路,整租,38.40
丰台,糖人街,1室1厅1卫,东,5300,太平桥,整租,43.00
大兴,明发雅苑,3室1厅1卫,南 北,5500,天宫院,整租,103.00
丰台,世嘉丽晶,2室1厅1卫,南 北,5300,和义,整租,87.00
朝阳,港湾国际,1室0厅1卫,南,5500,工体,整租,39.08
通州,华业东方玫瑰D区,2室1厅1卫,南,5200,临河里,整租,92.00
朝阳,远洋一方新悦一期,2室1厅1卫,东 西北,5600,双桥,整租,78.71
东城,东革新里40号院,1室1厅1卫,南,5500,永定门,整租,45.00
朝阳,珠江绿洲,2室1厅1卫,南 北,5300,双桥,整租,101.75
朝阳,农光里,1室1厅1卫,南 北,5500,劲松,整租,52.00
海淀,门头馨园南区,1室1厅1卫,南 北,5200,西山,整租,60.00
大兴,清逸园,3室1厅1卫,南 北,5200,旧宫,整租,82.52
丰台,金泰城迷你,1室1厅1卫,北,5500,菜户营,整租,51.18
顺义,阿凯笛亚别院,2室1厅1卫,南,5600,后沙峪,整租,92.41
丰台,gogo新世代,2室1厅1卫,北,5500,方庄,整租,57.00
朝阳,北京新天地三期,1室1厅1卫,西北,5600,常营,整租,68.88
丰台,同馨家园,2室1厅1卫,南 北,5400,青塔,整租,79.00
海淀,兰园,1室1厅1卫,南,5500,马连洼,整租,59.07
朝阳,苹果派,1室1厅1卫,北,5600,常营,整租,52.00
昌平,肿瘤医院宿舍,2室1厅1卫,东 西,5600,立水桥,整租,66.19
朝阳,农光里,1室1厅1卫,南 北,5300,劲松,整租,45.00
海淀,志强北园,1室1厅1卫,东,5600,小西天,整租,45.50
房山,五和万科长阳天地5号院,3室1厅1卫,南 北,5300,长阳,整租,95.00
大兴,北京金科天籁城,3室1厅1卫,南,5300,天宫院,整租,89.00
丰台,阳光星苑北区,2室1厅1卫,南 北,5500,新宫,整租,83.00
东城,定安里,2室1厅1卫,南,5500,永定门,整租,53.99
海淀,知本时代,1室1厅1卫,南 西 北,5400,西三旗,整租,57.18
丰台,芳群园四区,1室1厅1卫,南,5200,方庄,整租,44.40
顺义,中粮祥云国际生活区,3房间1卫,北,5500,后沙峪,整租,57.03
西城,莲花池东路24号院,1室1厅1卫,西北,5500,广安门,整租,55.92
亦庄开发区,易居国际,3房间1卫,南,5400,亦庄,整租,74.00
朝阳,旭辉奥都,1房间1卫,东,5300,北苑,整租,47.82
丰台,东亚三环,2房间1卫,北,5200,马家堡,整租,53.68
朝阳,中海城紫鑫阁,2房间1卫,北,5200,成寿寺,整租,48.00
丰台,东大街西里,3室1厅1卫,南 北,5500,七里庄,整租,71.00
昌平,首开国风美唐综合楼,1房间1卫,西,5300,回龙观,整租,60.39
大兴,星光视界中心,1房间0卫,西 北,5500,高米店,整租,75.80
朝阳,新华联丽港,1房间1卫,东,5500,酒仙桥,整租,52.00
朝阳,n次方,2房间1卫,西,5600,北苑,整租,60.06
海淀,辉煌国际,2房间1卫,南,5150,上地,整租,51.00
朝阳,砖角楼南里,1室1厅1卫,南,5200,和平里,整租,36.83
丰台,嘉特美公馆,2房间1卫,东南,5600,北京南站,整租,48.00
东城,华人一品大厦,2房间1卫,北,5600,东四,整租,56.00
朝阳,乐栋300,4房间1卫,东,5300,双桥,整租,58.89
海淀,辉煌国际,1房间1卫,西,5500,上地,整租,51.00
朝阳,乐栋300,4房间1卫,东,5300,双桥,整租,58.89
海淀,辉煌国际,1房间1卫,西,5500,上地,整租,51.00
通州,新光大中心,2房间1卫,南,5200,北关,整租,47.00
丰台,冠军楼,2室1厅1卫,南 西,5600,木樨园,整租,71.00
石景山,中海金鑫阁,3房间1卫,东,5600,古城,整租,49.27
亦庄开发区,林肯公园,2房间1卫,西,5400,亦庄,整租,55.00
石景山,鲁谷村,2室1厅1卫,南 北,5300,鲁谷,整租,56.64
海淀,建材城东二里,2室1厅1卫,南 北,5500,西三旗,整租,66.71
昌平,东亚上北中心,2房间1卫,东,5200,回龙观,整租,57.33
海淀,西四环中路47号院,2室0厅1卫,南 北,5600,五棵松,整租,50.30
亦庄开发区,林肯公园,2房间1卫,西,5500,亦庄,整租,56.00
海淀,西荣阁,1房间1卫,南,5500,四季青,整租,50.77
朝阳,九龙花园,2室2厅2卫,东南,5600,双井,整租,120.00
通州,天赐良园东三期A区,3室2厅2卫,南 北,5500,北关,整租,143.25
昌平,润枫欣尚,3房间1卫,西,5500,立水桥,整租,60.83
东城,华人一品大厦,2房间1卫,南,5500,东四,整租,41.00
昌平,东亚上北中心,2房间1卫,南,5300,回龙观,整租,57.44
朝阳,玲珑山,2房间1卫,西,5600,双桥,整租,68.00
丰台,前泥洼小区,2室1厅1卫,南 北,5300,丽泽,整租,80.00
朝阳,金隅可乐,3房间1卫,东南,5500,双桥,整租,75.00
丰台,梅市口路11号院,2室1厅1卫,东 西,5300,岳各庄,整租,57.40
朝阳,远洋一方润园6号院,3室1厅1卫,南 北,5300,双桥,整租,90.00
朝阳,卡夫卡公社,2房间1卫,南,5500,定福庄,整租,37.00
通州,旭辉丽舍,4房间1卫,东南,5200,通州其它,整租,126.45
大兴,金色漫香林六期,3房间2卫,南,5600,亦庄,整租,93.00
朝阳,炫特嘉园一期,1室0厅1卫,北,5300,石佛营,整租,41.99
昌平,东亚上北中心,2房间1卫,西,5200,回龙观,整租,61.10
昌平,路劲世界城一期,3室1厅1卫,东 南 北,5500,南邵,整租,98.08
海淀,甘家口小区,2室1厅1卫,南 北,5250,甘家口,整租,61.00
丰台,7克拉,3房间1卫,南,5500,马家堡,整租,31.00
朝阳,金隅悦和园,2室1厅1卫,南,5600,东坝,整租,78.00
海淀,北分厂,2室1厅1卫,南 北,5600,海淀北部新区,整租,65.00
石景山,老山东里,2室1厅1卫,南 北,5400,老山,整租,59.56
海淀,红联北村,1室1厅1卫,东,5500,小西天,整租,44.59
石景山,老山东里,2室1厅1卫,南 北,5600,老山,整租,59.56
大兴,保利茉莉公馆,3房间1卫,东 西,5500,高米店,整租,50.00
丰台,万润风景,1室1厅1卫,南,5200,菜户营,整租,43.92
海淀,志新村,2室1厅1卫,南 北,5150,二里庄,整租,59.56
朝阳,悠乐汇,1房间1卫,南,5300,望京,整租,48.95
昌平,首开智慧社,1房间1卫,西,5300,回龙观,整租,51.11
昌平,名流花园,3室2厅2卫,南,5150,北七家,整租,157.00
昌平,润枫欣尚,1房间1卫,西,5200,立水桥,整租,58.11
朝阳,天天朝阳,1室0厅1卫,东,5200,甘露园,整租,38.00
海淀,金沟河5号院,2室1厅1卫,南 北,5600,五棵松,整租,60.42
海淀,西荣阁,1房间1卫,北,5400,四季青,整租,48.00
丰台,名都家苑,1室0厅1卫,北,5350,马家堡,整租,55.00
丰台,望园东里,1室1厅1卫,南,5330,七里庄,整租,69.00
朝阳,东洲家园,2室1厅1卫,南 北,5500,望京,整租,89.00
海淀,新外大街21号院,2室1厅1卫,南,5300,小西天,整租,56.90
朝阳,龙头公寓,1室0厅1卫,北,5600,华威桥,整租,54.90
海淀,十一教工楼,2室1厅1卫,南 北,5500,玉泉路,整租,52.99
石景山,金顶街四区,2室1厅1卫,东北,5200,苹果园,整租,92.83
海淀,iMOMA,1房间1卫,西,5500,上地,整租,60.00
