区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
丰台,设计师广场,1室0厅1卫,西北,3700,科技园区,整租,37.00
大兴,海子角小区,3室1厅1卫,南 北,3600,观音寺,整租,88.00
大兴,庑殿家苑C区,1室1厅1卫,南,3500,旧宫,整租,48.30
通州,摩卡空间,1室0厅1卫,南,3300,万达,整租,37.44
顺义,石园北区,3室1厅1卫,南 北,3500,顺义城,整租,91.15
通州,小街之春,2室1厅1卫,西,3700,临河里,整租,78.84
房山,宏塔社区,2室1厅1卫,南 北,1700,燕山,整租,59.79
石景山,八宝山南路29号院,2室1厅1卫,南 北,3100,鲁谷,整租,48.40
丰台,张仪村4号院,1室1厅1卫,东 西,3600,青塔,整租,60.90
门头沟,德露苑,2室1厅1卫,南 北,3000,滨河西区,整租,58.71
昌平,土沟新村,2室1厅1卫,南 北,2500,小汤山,整租,74.00
丰台,卢沟桥南里,2室1厅1卫,南 北,3600,卢沟桥,整租,63.97
石景山,模式口西里,2室1厅1卫,南 北,3500,苹果园,整租,53.00
密云,涧桥山,2室1厅1卫,西南,2400,果园街道,整租,68.54
怀柔,梦想家园西区,2室2厅1卫,南 北,2600,怀柔,整租,88.71
通州,西马庄园,1室1厅1卫,东 北,3500,通州北苑,整租,60.59
朝阳,康静里,1室1厅1卫,南,3800,东坝,整租,47.00
大兴,育新花园中里,2室1厅1卫,南 北,2550,大兴新机场洋房别墅区,整租,88.00
密云,保利花园B区,2室1厅1卫,南,2500,鼓楼街道,整租,86.04
大兴,鸿坤理想城八期,1室1厅1卫,南,3500,西红门,整租,45.42
门头沟,黑山A5区,2室1厅1卫,南 北,2900,大峪,整租,65.00
昌平,郝庄家园,2室1厅1卫,南 北,2800,西关环岛,整租,91.65
顺义,裕龙二区,2室1厅1卫,南 北,2600,顺义城,整租,92.00
门头沟,新桥路小区,2室1厅1卫,南 北,2500,大峪,整租,51.37
门头沟,石门营新区七区东苑,2室1厅1卫,南,3000,石门营,整租,65.00
大兴,滨河西里中区,2室1厅1卫,东 西,3800,枣园,整租,61.04
房山,康泽佳苑北区,1室1厅1卫,南,3500,长阳,整租,60.00
通州,玉桥北里,2室1厅1卫,南 北,3200,乔庄,整租,58.99
丰台,同馨家园,2室1厅1卫,南 北,3150,青塔,整租,79.03
大兴,众美MIMO公馆,1房间1卫,南,2300,大兴新机场,整租,51.75
门头沟,鸿坤七星长安,3房间1卫,东 南,3400,滨河西区,整租,69.86
顺义,尚峯壹号,1房间1卫,南,3100,顺义其它,整租,54.58
大兴,众美MIMO公馆,2房间1卫,北,2280,大兴新机场,整租,61.00
顺义,金地未未来,3房间2卫,西,3300,顺义其它,整租,42.00
顺义,中国铁建顺鑫汇,3房间2卫,南 北,3700,顺义其它,整租,66.00
门头沟,鸿坤七星长安,3房间1卫,北,3500,滨河西区,整租,65.00
通州,金隅自由筑,2房间1卫,西,3100,临河里,整租,59.00
大兴,波普公社,2房间1卫,南,3400,枣园,整租,46.00
门头沟,西长安壹号,2房间1卫,西,3600,上岸地铁,整租,38.00
海淀,文慧北园,1室1厅1卫,南,3800,小西天,整租,36.70
大兴,保利春天派,2房间1卫,西,3300,天宫院,整租,47.00
昌平,红石座,1房间1卫,东南,2700,东关,整租,46.00
房山,冀北电力有限公司培训中心小区,2室1厅1卫,南 北,2100,良乡,整租,106.00
门头沟,中门寺39号院,2室1厅1卫,南 北,2244,门头沟其它,整租,92.40
