区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
临桂区,彰泰滟澜山,2室2厅1卫,南,1100,临桂区,整租,65.00
临桂区,兴荣郡,2室2厅1卫,南,1150,临桂区,整租,85.00
临桂区,兴荣郡,2室2厅1卫,南,1300,临桂区,整租,88.00
临桂区,桂林碧桂园,2室2厅1卫,南,1400,临桂区,整租,72.00
临桂区,飞扬国际,2室2厅1卫,东南,1200,临桂区,整租,85.00
临桂区,彰泰滟澜山,2室1厅1卫,东 西,1200,临桂区,整租,79.00
临桂区,桂林碧桂园,2室2厅1卫,南,1300,临桂区,整租,72.00
临桂区,山水凤凰城,3室2厅1卫,南,1400,临桂区,整租,96.45
象山区,龙光御学府,3室2厅2卫,南,900,象山区,整租,89.00
临桂区,兴汇城,3室2厅1卫,南,1300,临桂区,整租,107.00
象山区,铁西二里,2室1厅1卫,南,1200,象山区,整租,60.00
叠彩区,联发乾景广场,1室1厅1卫,南,1000,叠彩区,整租,47.00
临桂区,碧园•印象桂林,2室2厅1卫,南,1200,临桂区,整租,85.00
临桂区,慧佳华府,3室2厅2卫,南,1300,临桂区,整租,124.00
临桂区,兴荣郡,2室2厅1卫,南,1200,临桂区,整租,78.00
临桂区,花样年•麓湖国际,2室2厅1卫,南,1000,临桂区,整租,80.44
临桂区,碧园•印象桂林,3室2厅2卫,南,1400,临桂区,整租,106.00
临桂区,都市心语,3室2厅1卫,南 北,1100,临桂区,整租,87.65
临桂区,时代花园,3室2厅2卫,南,1300,临桂区,整租,130.00
临桂区,精通伊顿国际,3室2厅1卫,南,1200,临桂区,整租,103.00
临桂区,花样年•麓湖国际,2室2厅1卫,南 北,1100,临桂区,整租,82.00
临桂区,慧佳华府,2室2厅1卫,南,1300,临桂区,整租,87.00
七星区,龙隐山庄,3室2厅1卫,南 北,1200,七星区,整租,108.00
叠彩区,桂圳·城市领地,1室1厅1卫,南 北,1000,叠彩区,整租,50.00
临桂区,滨江8号公馆,1室1厅1卫,南 北,1300,临桂区,整租,58.60
象山区,彰泰鸣翠新都,1室1厅1卫,南,1300,象山区,整租,40.00
临桂区,碧园•印象桂林,3室2厅2卫,南,1200,临桂区,整租,130.00
临桂区,兴盛爱地社区,3室2厅1卫,南 北,1000,临桂区,整租,89.00
临桂区,慧佳城,3室3厅2卫,南 北,1400,临桂区,整租,100.00
象山区,安厦漓江大美,2室1厅1卫,南 北,1400,象山区,整租,75.00
临桂区,鑫隆公园大地,2室2厅1卫,南,1100,临桂区,整租,96.00
临桂区,花样年花样城二期,2室2厅1卫,南,1050,临桂区,整租,83.00
象山区,铁西小区,2室1厅1卫,南,900,象山区,整租,62.50
临桂区,碧园•印象桂林,2室2厅1卫,南,1000,临桂区,整租,78.00
灵川,水榭花都,2室2厅2卫,北,800,灵川,整租,120.00
临桂区,精通伊顿国际,3室2厅2卫,北,1200,临桂区,整租,120.00
临桂区,金水湾花园,1室1厅1卫,南,700,临桂区,整租,43.00
临桂区,桂林碧桂园,2室2厅1卫,南,1100,临桂区,整租,74.00
临桂区,兴荣郡,1室1厅1卫,南,900,临桂区,整租,35.00
临桂区,精通伊顿国际,3室2厅1卫,东南,1000,临桂区,整租,108.00
临桂区,兴盛爱地社区,2室2厅1卫,南,1000,临桂区,整租,72.00
临桂区,彰泰公园1号,2室2厅1卫,南,500,临桂区,整租,86.07
