区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
静安,复元坊,1室1厅1卫,北,3000,西藏北路,整租,19.61
松江,紫薇茗庭,2室1厅1卫,南,2600,泗泾,整租,65.00
闵行,康乐花园(闵行),2室1厅1卫,南,3300,老闵行,整租,69.75
松江,九峰小区,2室1厅1卫,南,3300,松江老城,整租,58.26
嘉定,永红新村,2室1厅1卫,南,3000,南翔,整租,55.59
宝山,宝钢一村,1室1厅1卫,南,3200,淞宝,整租,41.00
奉贤,金水苑,3室1厅2卫,东南 南 北,3500,南桥,整租,125.13
浦东,晨阳小区,2室1厅1卫,南,3100,川沙,整租,75.05
嘉定,城南新村,2室1厅1卫,南,2600,嘉定老城,整租,61.07
宝山,呼玛一村,1室1厅1卫,南,3500,张庙,整租,37.47
浦东,潍坊二村,1室0厅1卫,南,3500,潍坊,整租,13.80
杨浦,松花一村,1室0厅1卫,南,3300,黄兴公园,整租,32.05
宝山,海江二村,1室1厅1卫,南,3000,淞宝,整租,43.45
浦东,凌港城,2室1厅1卫,南,3300,川沙,整租,74.49
嘉定,远香舫嘉苑,1室1厅1卫,南,3500,嘉定新城,整租,61.81
浦东,听潮五村,2室1厅1卫,南 北,2100,惠南,整租,54.50
青浦,梦丹苑,2室1厅1卫,南,2700,夏阳,整租,74.79
静安,银都一村,1室0厅1卫,南,3000,彭浦,整租,34.79
宝山,馨祥佳苑,1室1厅1卫,南,3500,顾村,整租,67.00
青浦,民乐佳苑二区,2室1厅1卫,南,3300,盈浦,整租,55.64
奉贤,棕榈滩海景城,2室2厅1卫,南,2200,海湾,整租,90.56
嘉定,小囡桥小区,1室1厅1卫,南,2300,嘉定老城,整租,38.75
静安,兴泉小区,1室0厅1卫,南,3500,彭浦,整租,35.25
奉贤,鸿宝一村(北区),2室1厅1卫,南,2700,西渡,整租,53.19
浦东,环庆新苑,1室1厅1卫,南 北,3000,合庆,整租,46.00
宝山,天极盛宅花园,2室1厅1卫,南,3200,顾村,整租,63.81
浦东,乾耀东港,3室2厅1卫,南,3100,泥城镇,整租,88.42
杨浦,黄兴路601号,1室0厅1卫,东南,3200,控江路,整租,14.80
静安,保德路1010弄,1室0厅1卫,南,3000,彭浦,整租,37.12
宝山,宝钢七村,2室1厅1卫,南,3100,淞宝,整租,47.81
普陀,甘泉一村,1室0厅1卫,南,3100,甘泉宜川,整租,28.72
青浦,绿地时代名邸,2室2厅1卫,南,2800,白鹤,整租,84.00
宝山,海滨三村,1室1厅1卫,南,3300,淞宝,整租,35.46
普陀,桃浦五村山茶苑,1室1厅1卫,南,2500,桃浦,整租,54.12
奉贤,育秀九区,2室2厅1卫,南,2300,南桥,整租,88.09
青浦,崧泽华城华中苑,2室1厅1卫,南,3000,赵巷,整租,76.00
奉贤,佳源梦想广场,3室2厅1卫,南,2500,海湾,整租,88.51
闵行,瑞和新苑江航路60弄,2室1厅1卫,南,3200,闵浦,整租,75.87
青浦,新里波洛克公馆,2室1厅2卫,南,3500,重固,整租,83.99
松江,九峰小区,2室1厅1卫,南,3100,松江老城,整租,59.21
闵行,马桥景城·和苑,2室1厅1卫,南,2700,老闵行,整租,66.96
松江,华亭荣园,2室1厅1卫,南,3500,松江老城,整租,77.86
浦东,荡湾新村,2室1厅1卫,南,2400,惠南,整租,64.00
奉贤,中心公馆,2室1厅1卫,南,2600,南桥,整租,53.08
奉贤,恒盛湖畔豪庭,2室2厅1卫,南,2400,南桥,整租,91.19
闵行,万科早城(一期),1室1厅1卫,北,3500,浦江,整租,60.25
松江,万达广场(松江),1室1厅1卫,北,2500,松江大学城,整租,41.91
松江,龙湖新壹城,1室1厅1卫,东,2100,松江大学城,整租,24.60
闵行,万乐城(商业类),1室0厅1卫,北,2100,吴泾,整租,21.79
青浦,青浦万达茂(公寓),2室2厅1卫,南,3400,盈浦,整租,42.00
嘉定,永和生活广场,1室0厅1卫,东,2700,江桥,整租,58.79
松江,绿地云天坊,1室1厅1卫,东,2600,泗泾,整租,41.20
浦东,临港新世界休闲广场,1室1厅1卫,南 北,1900,临港新城,整租,44.59
嘉定,东方豪园,2室1厅1卫,北,2900,嘉定新城,整租,39.00
嘉定,世盟壹天地,1室1厅1卫,南,3500,南翔,整租,36.41
闵行,万科早城(一期),1室0厅1卫,南,3500,浦江,整租,64.80
浦东,临港十七区,2室1厅1卫,南,2500,临港新城,整租,42.00
宝山,中怡家园,2室1厅1卫,南 北,3200,顾村,整租,78.10
嘉定,万立城(商业类),2室1厅2卫,北,3000,安亭,整租,36.93
奉贤,宝龙城市广场(奉贤),1室1厅1卫,南,2500,南桥,整租,40.00
奉贤,连城一号,1室1厅1卫,南,3300,西渡,整租,76.47
奉贤,海尚墅林苑,3室1厅1卫,南,2000,海湾,整租,86.66
宝山,绿地公园广场,1室1厅1卫,北,2600,顾村,整租,39.00
金山,金山万达海汇街,1室1厅1卫,南,1600,金山,整租,56.09
宝山,卓越时代广场,1室1厅1卫,北,3300,共康,整租,62.97
杨浦,控江六村,2室0厅1卫,南,3300,黄兴公园,整租,33.86
青浦,青浦万达茂(公寓),1室1厅1卫,南,2000,盈浦,整租,52.67
嘉定,合景理想家,2室1厅1卫,南,3300,嘉定新城,整租,57.14
青浦,水都南岸(二期),2室0厅1卫,北,1900,朱家角,整租,44.01
嘉定,江桥万达广场(嘉定),1室1厅1卫,北,3400,江桥,整租,43.74
闵行,万乐城(商业类),1室1厅1卫,北,2100,吴泾,整租,21.79
闵行,永德小区永南,2室1厅1卫,南,2800,吴泾,整租,48.06
嘉定,嘉隆国际广场,2室1厅1卫,南,2600,徐行,整租,55.28
浦东,亿联中心,1室1厅1卫,东,2500,航头,整租,63.67
宝山,绿地海樾,1室1厅1卫,南 北,3500,顾村,整租,45.00
奉贤,育秀一区,2室2厅1卫,南,2300,南桥,整租,78.70
嘉定,天霖阁,1室1厅1卫,东,1980,嘉定新城,整租,48.10
浦东,禹洲商业广场,2室1厅1卫,西,2300,惠南,整租,65.00
杨浦,华美达公寓,1室1厅1卫,南,3100,黄兴公园,整租,36.54
松江,万达广场(松江),1室0厅1卫,北,2500,松江大学城,整租,41.91
青浦,青浦万达茂(公寓),1室1厅1卫,南,2000,盈浦,整租,42.56
嘉定,底特律财富天地,2室1厅1卫,南,3400,安亭,整租,84.00
宝山,云麓之城,4室2厅3卫,南 北,3500,罗泾,整租,122.68
浦东,惠康苑东苑,2室1厅1卫,南,2500,惠南,整租,79.00
青浦,春江三月公寓二期,2室1厅1卫,南,2600,华新,整租,74.13
奉贤,保利象屿公园悦府,3室2厅1卫,南,3500,南桥,整租,90.08
宝山,长江路860弄,1室1厅1卫,南,3200,淞南,整租,39.09
宝山,泗塘一村,1室1厅1卫,南,3000,张庙,整租,39.38
奉贤,佳源梦想广场,4室2厅2卫,南,2600,海湾,整租,124.77
奉贤,贝港南区（八区）,3室1厅1卫,南,2300,南桥,整租,90.03
奉贤,贝港南区（八区）,3室1厅1卫,南,2300,南桥,整租,90.03
嘉定,红土天阶,2室1厅1卫,南,3000,嘉定老城,整租,48.56
浦东,中洲华庭,1室1厅1卫,南,2900,新场,整租,44.62
闵行,汇延路59弄,1室1厅1卫,南 北,3400,闵浦,整租,60.00
青浦,青浦万达茂(公寓),1室1厅1卫,南,2000,盈浦,整租,56.65
奉贤,海湾艺墅,2室1厅2卫,南,2000,海湾,整租,99.93
松江,新凯二期（北区）,3室2厅1卫,南,3500,泗泾,整租,90.07
嘉定,新城尚上城（商住）,2室1厅1卫,南 西,3300,安亭,整租,59.12
浦东,晨阳小区,3室1厅1卫,南,3200,川沙,整租,98.64
青浦,鑫苑壹品世家,2室1厅1卫,南,3300,赵巷,整租,64.00
宝山,美罗家园宝欣苑一村,3室1厅1卫,南 北,3000,罗店,整租,83.00
青浦,富绅商业中心,1室1厅1卫,东 南,3500,夏阳,整租,41.91
宝山,馨佳园(菊泉街1969弄),2室2厅1卫,南,3000,顾村,整租,80.00
浦东,丽都璟庭,3室2厅1卫,南,3400,泥城镇,整租,90.00
松江,佘北家园康桂苑,2室1厅1卫,南 北,2700,佘山,整租,65.40
闵行,红旗四街坊,2室1厅1卫,南,3400,老闵行,整租,62.62
浦东,人生港湾南欧城,2室2厅1卫,南,3400,惠南,整租,126.96
闵行,汇延路59弄,2室1厅1卫,南,2900,闵浦,整租,84.15
松江,御上海青橙,1室1厅1卫,南,3400,松江大学城,整租,49.97
松江,西林小区,3室2厅1卫,南 北,3300,松江老城,整租,87.45
浦东,锦园坊,2室2厅1卫,南,2800,惠南,整租,98.32
奉贤,贝港南区（第二居民区）,2室1厅1卫,南,2300,南桥,整租,60.55
奉贤,禹洲雍锦府,3室2厅2卫,南,1900,奉贤金汇,整租,89.25
宝山,华润卓越玲珑悦府,4室2厅3卫,东南,3300,罗店,整租,111.92
闵行,浦江意优,1室0厅1卫,南,3500,浦江,整租,83.00
宝山,远洋7号酒店式公寓,1室1厅1卫,南,2500,罗店,整租,40.58
金山,山龙新村,3室1厅1卫,南,2300,金山,整租,100.00
宝山,卓越时代广场,1室1厅1卫,南,3000,共康,整租,40.00
奉贤,悦达南郊华都,1室1厅1卫,南,1480,南桥,整租,38.94
宝山,美罗家园佳翔苑,2室1厅1卫,南,2500,罗店,整租,79.41
嘉定,MAX未来,2室1厅2卫,南,3500,江桥,整租,45.00
奉贤,育秀一区,2室2厅1卫,南,2400,南桥,整租,89.52
浦东,绿地云悦坊,1室1厅1卫,西,3300,川沙,整租,50.87
嘉定,合景理想家,1室1厅1卫,南,3000,嘉定新城,整租,43.00
松江,塘和家园·齐康苑,3室1厅1卫,南 北,3200,泗泾,整租,84.72
嘉定,江桥老街生活大院,1室1厅1卫,北 东北,3200,江桥,整租,58.29
松江,茸南苑,3室1厅1卫,南,3300,松江老城,整租,90.55
静安,长义坊,1室0厅1卫,南,2800,静安寺,整租,12.20
松江,松南城舒雅苑,3室1厅1卫,南 北,2000,车墩,整租,97.49
奉贤,江海新村,2室1厅1卫,南,1600,南桥,整租,70.60
浦东,万祥馨苑,3室2厅2卫,南,2300,万祥镇,整租,120.58
嘉定,V格时代广场,1室1厅1卫,南,3300,丰庄,整租,55.34
嘉定,东方慧谷,2室1厅2卫,南,3200,马陆,整租,53.50
金山,临潮二村,2室1厅1卫,南,2000,金山,整租,59.04
嘉定,万立城(商业类),2室1厅2卫,东北,3500,安亭,整租,51.22
青浦,泰安公寓三、四期,2室1厅1卫,南 北,1600,盈浦,整租,88.39
杨浦,鞍山三村,1室0厅1卫,南,3300,鞍山,整租,31.67
浦东,民乐城兰丽苑(西苑),1室1厅1卫,南,1300,惠南,整租,49.82
浦东,东方冠郡二期,2室2厅1卫,南 北,3500,新场,整租,99.25
奉贤,鸿宝二村,3室1厅1卫,南,2400,西渡,整租,79.80
松江,松南城嘉隆坊,1室1厅1卫,南,1600,车墩,整租,57.00
青浦,东方明珠花园,1室1厅1卫,北,3200,徐泾,整租,42.81
宝山,长江路780弄,1室1厅1卫,南,3300,淞南,整租,42.28
浦东,民乐城建欣苑,2室1厅1卫,南 北,1800,惠南,整租,80.00
青浦,五浦汇盛青雅苑,2室2厅1卫,南,2300,盈浦,整租,79.63
普陀,桃浦七村雪松苑,1室1厅1卫,南,3100,桃浦,整租,35.00
奉贤,闸园新村,3室1厅1卫,南,2500,西渡,整租,89.22
闵行,泽雅苑,2室1厅1卫,南,3000,华漕,整租,89.00
