区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
白云,东湖映月,1室0厅1卫,北,1900,龙归,整租,34.30
荔湾,长寿东路,1室1厅1卫,南,1900,龙津,整租,30.00
增城,惠百氏广场,2室1厅1卫,东,1950,白江,整租,66.59
南沙,南沙大都汇,1室2厅1卫,北,1900,金洲,整租,53.80
白云,静心林语园,2室1厅1卫,南,1900,龙归,整租,50.00
白云,梅岗路,2室1厅1卫,南,1900,梅花园,整租,100.00
番禺,锦绣一方,1室1厅1卫,南,1900,莲花山,整租,44.00
花都,祈福万景峰,2室2厅1卫,北,1900,铁路西,整租,60.00
海珠,南洲花苑AB区,1室1厅1卫,东南,1900,南洲,整租,43.50
南沙,南沙湾御苑,3室2厅1卫,南,1850,南沙港,整租,100.00
黄埔,萝岗敏捷广场,1室0厅1卫,东,1900,科学城,整租,30.00
荔湾,怡芳苑,1室1厅1卫,北,1850,花地湾,整租,33.29
番禺,新南6号公寓,1室1厅1卫,东,1900,万博,整租,35.00
番禺,康平楼,2室1厅1卫,南 北,1850,大石,整租,90.00
增城,假日花园,2室1厅1卫,西南,1900,白江,整租,59.42
天河,富力天寓,1室0厅1卫,南,1900,车陂,整租,30.00
海珠,新港中路,1室0厅1卫,南 北,1900,赤岗,整租,45.00
增城,碧桂园凤凰城凤馨苑,2室2厅1卫,南,1950,凤凰城,整租,96.00
番禺,丽江花园九如通津,1室1厅1卫,西南,1900,南浦,整租,30.00
番禺,金沙丽水,1室1厅1卫,南,1900,沙湾,整租,62.00
番禺,新城市宜家,1室0厅1卫,南,1850,大石,整租,28.41
海珠,敦和路,1室1厅1卫,南,1900,广州大道南,整租,45.00
白云,东湖映月,1室1厅1卫,北,1850,龙归,整租,34.30
越秀,中山三路,1室1厅1卫,东,1900,东川路,整租,25.00
花都,祈福万景峰,2室2厅1卫,南,1900,铁路西,整租,77.60
花都,雅宝新城英伦世家,2室1厅1卫,北,1900,秀全街,整租,90.00
黄埔,萝岗敏捷广场,1室0厅1卫,南 北 东北,1850,科学城,整租,32.00
增城,力诚凯怡湾,2室1厅1卫,南,1900,新塘南,整租,65.00
花都,祈福天龙苑,2室1厅1卫,南,1850,铁路西,整租,77.00
花都,石岗村西区正能量苑,2室2厅1卫,北,1900,花城街,整租,65.00
南沙,越秀滨海新城,2室2厅1卫,北,1900,进港大道,整租,64.00
花都,祈福天龙苑,2室2厅1卫,北,1900,铁路西,整租,75.00
