区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
浦东,金杨新村十街坊,2室1厅1卫,南,4800,金杨,整租,63.00
普陀,真光九街坊,1室1厅1卫,南,5000,真光,整租,41.32
浦东,六里二村,2室1厅1卫,南,4800,世博,整租,43.40
松江,信达蓝尊,2室2厅1卫,南,5000,松江大学城,整租,77.56
松江,万科白马花园(公寓),3室2厅1卫,南,5000,莘闵别墅,整租,85.91
闵行,鹤庆路58弄,2室2厅2卫,南,5000,老闵行,整租,101.70
虹口,盛安家园,1室1厅1卫,南,5000,江湾镇,整租,62.87
浦东,汇贤雅苑,2室2厅1卫,南,4800,航头,整租,83.82
静安,中华新路630号,1室1厅1卫,南,5000,不夜城,整租,43.30
宝山,共富四村,2室2厅1卫,南 北,4800,共富,整租,83.13
松江,象屿上海年华,2室1厅1卫,南 北,5000,莘闵别墅,整租,80.25
闵行,绿地璀璨天城,3室1厅1卫,南 北,4800,老闵行,整租,97.00
宝山,好日子大家园C区,4室2厅2卫,南 北,4800,顾村,整租,129.92
宝山,保利叶上海(二期),3室1厅1卫,南,4800,顾村,整租,88.45
浦东,潍坊十村,1室1厅1卫,南,5000,潍坊,整租,40.86
浦东,公元2040,4室2厅2卫,南,4800,祝桥,整租,116.52
静安,龙盛佳苑,1室1厅1卫,南,5000,阳城,整租,46.14
宝山,民悦苑,2室0厅1卫,南,4800,张庙,整租,71.29
杨浦,凤城二村,1室1厅1卫,南,4800,控江路,整租,55.10
浦东,金桥新村一街坊,2室1厅1卫,南,4900,金桥,整租,69.00
宝山,高境二村,1室1厅1卫,南,4800,高境,整租,56.63
宝山,共富二村,3室1厅1卫,南,5000,共富,整租,79.00
长宁,法华镇路720弄,1室1厅1卫,南,5000,新华路,整租,29.52
松江,绿地蔷薇九里(公寓),3室2厅1卫,南 北,5000,松江大学城,整租,93.16
松江,新凯一期,3室2厅1卫,南,5000,泗泾,整租,92.95
嘉定,龙湖蔚澜香醍,2室2厅1卫,南 北,5000,嘉定新城,整租,91.23
