区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
福田区,香诗美林,3室2厅2卫,南,11500,竹子林,整租,114.00
福田区,皇达东方雅苑,3室2厅2卫,南,11500,石厦,整租,113.00
南山区,大冲城市花园,5室2厅3卫,南 北,17500,科技园,整租,175.00
南山区,城市山林,3室2厅2卫,东南,12000,南山中心,整租,110.00
南山区,城市山林,3室2厅1卫,南,12000,南山中心,整租,94.49
龙岗区,万科城三期,5室2厅3卫,南,12500,坂田,整租,197.93
南山区,海印长城,3室2厅2卫,南,12000,南山中心,整租,90.19
南山区,南海玫瑰花园一期,3室2厅2卫,南,14500,蛇口,整租,125.00
南山区,晗山悦海城,2室2厅2卫,东,18000,蛇口,整租,91.08
福田区,天一名居,4室2厅2卫,南,15800,景田,整租,129.00
宝安区,西岸观邸,5室2厅2卫,东南,13000,宝安中心,整租,111.00
南山区,半山翠林花园,4室2厅2卫,北,12000,西丽,整租,106.00
南山区,首地容御,2室2厅1卫,南,14000,华侨城,整租,100.00
南山区,南海玫瑰花园三期,2室1厅1卫,南,12500,蛇口,整租,88.00
南山区,前海丹华,6室1厅3卫,南 北,14000,前海,整租,129.23
福田区,黄埔雅苑一期,3室2厅2卫,北,13500,福田中心,整租,108.00
南山区,凯德公园1号,3室2厅2卫,东南 南,15000,南山中心,整租,136.00
南山区,南海玫瑰花园三期,2室1厅1卫,南,12500,蛇口,整租,88.00
南山区,首地容御,2室2厅1卫,南,14000,华侨城,整租,100.00
福田区,黄埔雅苑一期,3室2厅2卫,北,13500,福田中心,整租,108.00
南山区,前海丹华,6室1厅3卫,南 北,14000,前海,整租,129.23
南山区,凯德公园1号,3室2厅2卫,东南 南,15000,南山中心,整租,136.00
福田区,御锦公馆,4室1厅2卫,西,12600,梅林,整租,57.23
南山区,鸿瑞花园三期,3室1厅2卫,东南,12000,南山中心,整租,111.30
福田区,宝鸿苑,4室2厅1卫,南,12000,新洲,整租,152.00
福田区,玮鹏花园,3室2厅2卫,南,11500,华强北,整租,105.00
南山区,城市山林,3室2厅1卫,南,15500,南山中心,整租,116.00
南山区,桑泰丹华园三期,4室2厅3卫,南,15000,大学城,整租,161.00
南山区,香格名苑,6室2厅3卫,南,16000,前海,整租,175.00
龙岗区,满京华喜悦里,5室2厅2卫,东南 南,14000,龙岗双龙,整租,143.11
福田区,中海华庭,3室2厅2卫,北,16000,福田中心,整租,107.00
龙岗区,振业城一期,4室2厅3卫,南 北,12000,横岗,整租,177.57
龙岗区,麟恒中心广场二期,4室2厅2卫,东南,15000,横岗,整租,144.00
龙华区,金地天悦湾,4室2厅3卫,南 北,12000,观澜,整租,118.00
南山区,深业鹤塘岭花园,2室2厅1卫,东南,13500,华侨城,整租,82.30
南山区,春树里,5室2厅2卫,南,15000,蛇口,整租,150.00
南山区,金地国际公寓,3室1厅1卫,南,12000,科技园,整租,83.00
南山区,万科云城,3室2厅2卫,东北,12000,西丽,整租,92.00
福田区,廊桥国际,3室2厅2卫,南,13000,皇岗,整租,108.00
南山区,瑧湾汇,3室2厅2卫,东,18000,红树湾,整租,74.00
南山区,深业鹤塘岭花园,2室2厅1卫,东,12000,华侨城,整租,82.00
南山区,瑧湾汇,2室1厅2卫,北,15500,红树湾,整租,125.00
南山区,顺天大厦,4室2厅2卫,南,17900,南头,整租,150.00
福田区,景发花园,3室2厅2卫,南,12800,景田,整租,104.00
南山区,星海名城六期,5室2厅2卫,东南,17000,前海,整租,164.00
宝安区,风临洲,4室2厅2卫,东南,15000,宝安中心,整租,151.00
南山区,山海韵,4室2厅2卫,南,14000,蛇口,整租,141.00
南山区,卓越前海壹号,1室2厅2卫,南,13500,前海,整租,88.00
南山区,世纪村一期,3室2厅2卫,西南 西,15900,红树湾,整租,134.27
福田区,南光紫荆苑,4室2厅2卫,南,14000,福田保税区,整租,167.00
龙岗区,龙岗天安数码城T4全时空间,4室1厅2卫,东南,13000,大运新城,整租,111.32
南山区,星海名城六期,5室2厅2卫,东南,17000,前海,整租,164.00
龙岗区,龙岗天安数码城T4全时空间,4室1厅2卫,东南,13000,大运新城,整租,111.32
罗湖区,鹏兴花园二期,5室3厅3卫,南,15000,莲塘,整租,210.00
南山区,美加广场,3室2厅2卫,西南,13000,华侨城,整租,131.72
福田区,益田花园二期,4室2厅3卫,南 北,14000,皇岗,整租,180.87
福田区,颐林雅院,3室2厅1卫,东 西,13000,梅林,整租,91.00
福田区,金地香蜜山,4室2厅2卫,南,18000,香蜜湖,整租,150.00
南山区,科苑学里,3室2厅2卫,南,13000,科技园,整租,113.00
宝安区,碧海君庭,4室2厅2卫,南,15000,碧海,整租,175.00
福田区,皇都广场,4室2厅2卫,南,12000,石厦,整租,140.00
福田区,雨田村二期,5室2厅2卫,西北,16000,莲花,整租,190.00
南山区,宝能城,4室2厅2卫,南,11500,大学城,整租,89.85
南山区,海岸时代公寓,3室0厅1卫,南,13000,南头,整租,206.00
福田区,金港豪庭,4室2厅3卫,北,12000,皇岗,整租,76.24
南山区,绿景美景广场,1室1厅2卫,东,16000,华侨城,整租,51.48
宝安区,风临洲,5室3厅2卫,东南,16000,宝安中心,整租,132.00
南山区,高山花园,4室2厅2卫,东南,17000,蛇口,整租,160.00
南山区,前海康城华府,4室2厅2卫,东南,15000,前海,整租,151.00
福田区,东海花园二期福禄居,3室2厅2卫,南,14000,香蜜湖,整租,117.00
南山区,颐湾府,3室2厅2卫,东南,15000,前海,整租,123.00
龙华区,金地梅陇镇二期,8室2厅3卫,南 北,15000,龙华新区,整租,262.00
龙岗区,大族云峰,4室2厅2卫,南,12000,坂田,整租,144.00
罗湖区,京基一百大厦,4室2厅2卫,南,14000,地王,整租,147.00
福田区,黄埔雅苑一期,3室2厅2卫,西北,13500,福田中心,整租,107.00
福田区,鸿浩阁,4室2厅2卫,东南,14500,梅林,整租,138.00
福田区,梅林一村二区,4室2厅2卫,西南,18000,梅林,整租,143.66
福田区,擎天华庭,4室2厅2卫,南 北,13800,景田,整租,169.00
南山区,缤纷假日豪园,4室2厅2卫,东,11500,南山中心,整租,134.00
福田区,信托花园,6室2厅2卫,南,12000,石厦,整租,218.00
南山区,海祥阁,4室2厅2卫,东南,13000,前海,整租,129.00
福田区,港丽豪园,3室2厅2卫,东南,12000,福田中心,整租,109.00
南山区,大冲城市花园,5室2厅3卫,南,16800,科技园,整租,175.00
龙岗区,莲花山庄五村,6室2厅2卫,南,13800,布吉街,整租,224.00
福田区,城中雅苑,3室1厅2卫,西南,13000,福田中心,整租,115.00
龙岗区,莲花山庄五村,6室2厅2卫,南,13800,布吉街,整租,224.00
南山区,百仕达红树西岸,2室2厅2卫,南,17000,红树湾,整租,117.00
福田区,东海花园,4室2厅2卫,南,18000,香蜜湖,整租,154.00
福田区,金色家园一期,3室2厅1卫,北,12000,景田,整租,87.00
南山区,南山花园,5室2厅3卫,南,18000,前海,整租,169.79
南山区,蔚蓝海岸3期,3室2厅2卫,东南,13000,后海,整租,108.00
龙岗区,振业城一期,5室2厅2卫,南,15000,横岗,整租,220.00
南山区,豪方现代豪园,4室2厅2卫,南,12000,科技园,整租,134.28
南山区,首地容御,2室1厅1卫,东南,11500,华侨城,整租,89.00
福田区,君临天下,3室2厅2卫,北,18000,车公庙,整租,91.67
罗湖区,百仕达东郡,3室2厅1卫,南,12000,百仕达,整租,105.00
福田区,深业中城,1室1厅1卫,南,15000,香蜜湖,整租,70.00
宝安区,都市茗荟花园,5室2厅3卫,西南 东北,18000,宝安中心,整租,240.00
福田区,中海华庭,4室1厅2卫,西南,12000,福田中心,整租,108.00
南山区,京基御景峯,3室2厅2卫,西南,12000,大学城,整租,116.00
宝安区,松茂御龙湾,2室2厅2卫,西南,12800,碧海,整租,99.00
福田区,云顶翠峰一期,3室2厅1卫,北,13500,皇岗,整租,116.00
南山区,半山海景兰溪谷二期,2室1厅1卫,东,12000,蛇口,整租,83.00
龙华区,龙岸花园一期,5室2厅3卫,东南,17000,坂田,整租,218.66
南山区,花园城三期,4室2厅2卫,东南,16800,蛇口,整租,179.00
福田区,岗厦城,3室2厅2卫,南 西,16000,福田中心,整租,110.00
南山区,山语海,4室2厅2卫,南,16000,前海,整租,132.00
盐田区,壹海城玺湾,3室2厅2卫,南,15300,沙头角,整租,156.24
宝安区,华侨城华寓,1室1厅1卫,东南,12000,宝安中心,整租,97.00
南山区,熙湾,3室2厅2卫,南,15000,科技园,整租,115.00
南山区,京基御景东方,3室2厅2卫,东南,16000,红树湾,整租,118.00
宝安区,海云轩,4室2厅2卫,南,13000,翻身,整租,147.00
龙华区,HBC汇隆中心,3室1厅2卫,东南,11200,梅林关,整租,77.00
福田区,豪峰园,4室2厅2卫,南 北,18000,香蜜湖,整租,158.00
龙岗区,万科第五园八期,5室2厅3卫,南,12800,坂田,整租,142.96
福田区,岗厦城,3室2厅1卫,西,13000,福田中心,整租,91.00
南山区,假日湾,3室2厅2卫,南,11500,华侨城,整租,106.00
南山区,京基御景东方,3室1厅2卫,东,18000,红树湾,整租,145.00
南山区,铭筑,4室2厅2卫,东南,12000,前海,整租,88.88
盐田区,壹海城玺湾,3室2厅2卫,南,16000,沙头角,整租,155.00
龙华区,中航天逸,5室2厅2卫,南,12500,红山,整租,154.68
南山区,深业鹤塘岭花园,3室1厅1卫,西南,14500,华侨城,整租,90.00
南山区,京基御景峯,3室2厅3卫,西南 东北,16800,大学城,整租,226.17
南山区,京基御景峯,4室2厅3卫,东南 西北,13000,大学城,整租,179.22
宝安区,合正汇一城,4室2厅2卫,东南,11500,西乡,整租,151.69
南山区,栖游家园,3室2厅2卫,东南,12000,蛇口,整租,86.00
南山区,京基御景峯,4室2厅3卫,东南 西北,16000,大学城,整租,179.22
南山区,前海时代CEO公馆,4室2厅2卫,南 北,17000,前海,整租,143.98
宝安区,中洲华府,4室2厅1卫,东,16000,新安,整租,158.00
南山区,阳光粤海,3室2厅1卫,西南,12000,科技园,整租,95.27
宝安区,中洲中央公寓,4室2厅2卫,东南,16000,新安,整租,176.00
南山区,蔚蓝海岸2期,3室2厅1卫,东南,12700,后海,整租,110.00
宝安区,宏发前城,4室2厅2卫,东北,12000,西乡,整租,117.00
南山区,恒立心海湾花园,4室2厅2卫,南 北,14000,前海,整租,147.00
福田区,国都高尔夫花园二期,3室2厅2卫,南,13500,车公庙,整租,140.00
福田区,新天CBC,3室2厅2卫,东南,15000,石厦,整租,125.50
宝安区,合正汇一城,4室2厅2卫,东南,11500,西乡,整租,151.69
南山区,京基御景峯,4室2厅3卫,东南 西北,16000,大学城,整租,179.22
南山区,京基御景峯,3室2厅2卫,东北,15500,大学城,整租,185.00
福田区,东海花园,4室2厅2卫,东,15600,香蜜湖,整租,154.00
南山区,澳城1618一期,3室1厅2卫,南,15000,蛇口,整租,108.00
宝安区,唐商前海双悦,2室2厅2卫,西南,15000,沙井,整租,103.99
南山区,深业鹤塘岭花园,3室2厅1卫,东南,13000,华侨城,整租,90.00
福田区,紫元元大厦,2室1厅2卫,南,15500,皇岗,整租,65.00
福田区,君临天下,3室2厅2卫,东南 南,14500,车公庙,整租,89.00
宝安区,新锦安海纳公馆,3室2厅2卫,东南,12000,宝安中心,整租,89.58
福田区,黄埔雅苑四期,4室2厅2卫,东南,18000,福田中心,整租,167.00
南山区,世纪村四期,3室1厅2卫,南,16000,红树湾,整租,156.00
南山区,京基御景峯,4室2厅2卫,南 西南,12500,大学城,整租,147.00
南山区,中海深圳湾畔花园,3室2厅1卫,南,12000,白石洲,整租,106.00
福田区,理想公馆,2室2厅1卫,东南,12000,梅林,整租,70.09
南山区,京基御景峯,3室2厅3卫,西南 东北,16800,大学城,整租,226.17
福田区,南方国际广场,1室0厅0卫,南,12000,石厦,整租,36.00
罗湖区,万科彩园,3室2厅2卫,东南,13800,东门,整租,173.00
罗湖区,京基水贝城市广场,3室2厅2卫,东,12000,翠竹,整租,117.25
罗湖区,中信星光名庭,4室2厅2卫,北,18000,东门,整租,188.00
南山区,深圳湾创新科技中心,3室1厅1卫,北,12500,科技园,整租,85.00
南山区,深圳湾创新科技中心,2室2厅1卫,北,13000,科技园,整租,85.00
福田区,皇庭世纪,3室2厅1卫,东南,12000,石厦,整租,120.00
福田区,绿景红树湾壹号,2室1厅1卫,西南,11800,沙尾,整租,84.00
福田区,金海湾花园,3室2厅2卫,东南,13800,上下沙,整租,128.87
南山区,澳城1618二期,4室2厅2卫,东南,15000,蛇口,整租,89.00
福田区,绿景虹湾,4室2厅2卫,南,18000,梅林,整租,125.00
福田区,城中雅苑,3室1厅2卫,南,17000,福田中心,整租,118.00
南山区,阳光海滨花园,2室1厅1卫,东,13000,深圳湾,整租,75.00
盐田区,桐林半山花园,5室2厅3卫,东南,11500,沙头角,整租,209.53
宝安区,熙龙湾一期,5室2厅2卫,东,13500,宝安中心,整租,171.62
福田区,辉煌时代大厦,4室2厅2卫,南,12000,梅林,整租,70.00
罗湖区,小鹏兴花园,5室2厅3卫,南,13000,莲塘,整租,180.00
南山区,卓越前海壹号,1室2厅2卫,南,12800,前海,整租,83.00
龙岗区,振业城一期,4室2厅2卫,东南,13800,横岗,整租,182.00
南山区,瑞思中心,2室1厅1卫,北,16400,华侨城,整租,106.26
福田区,翰岭院,1室1厅1卫,南,17000,梅林,整租,92.84
福田区,黄埔雅苑三期,3室2厅2卫,南,18000,福田中心,整租,110.00
龙华区,龙光玖龙玺,4室2厅2卫,东南,12000,梅林关,整租,114.00
龙岗区,诺德中央道,9室2厅3卫,南,15000,坂田,整租,278.58
福田区,玮鹏花园,4室2厅2卫,西南,16000,华强北,整租,160.00
福田区,中洲湾-中洲滨海商业中心,2室1厅1卫,南 西南,12500,上下沙,整租,66.00
福田区,中洲湾-中洲滨海商业中心,3室1厅1卫,东北,13000,上下沙,整租,82.00
福田区,百花公寓二期,2室2厅1卫,南,12000,百花,整租,83.68
龙岗区,万科第五园八期,4室2厅3卫,东南,13500,坂田,整租,138.26
南山区,阳光带海滨城一期,4室2厅2卫,东南,15000,科技园,整租,145.00
龙华区,龙光玖龙玺,5室2厅3卫,西南,15000,梅林关,整租,137.35
南山区,雍景湾,3室2厅1卫,南,13500,蛇口,整租,87.90
南山区,君汇新天,2室1厅1卫,东,13000,深圳湾,整租,83.00
南山区,向南瑞峰花园,4室2厅2卫,东,13500,南山中心,整租,123.00
宝安区,大悦城天玺壹号,3室2厅2卫,南 北,12999,新安,整租,116.00
南山区,颐湾府,3室2厅2卫,东南,12500,前海,整租,122.72
龙华区,观澜湖科技创新中心,3室2厅2卫,南 北,18000,观澜,整租,146.00
龙华区,观澜湖科技创新中心,2室1厅2卫,南 北,14300,观澜,整租,115.00
福田区,绿景中城天邑花园,2室2厅1卫,南,12000,新洲,整租,105.00
龙岗区,世茂深港国际中心,3室2厅2卫,东南 南,16000,大运新城,整租,176.00
龙岗区,万科第五园二期,4室2厅2卫,南 北,15000,坂田,整租,146.00
龙华区,星河丹堤,3室2厅2卫,东南,13000,梅林关,整租,135.47
福田区,新天CBC,4室0厅1卫,东南,16000,石厦,整租,185.00
龙华区,招商澜园,5室2厅3卫,南,18000,观澜,整租,218.00
罗湖区,美荔园,3室1厅1卫,南,12000,地王,整租,129.81
南山区,华润城润府三期,2室2厅1卫,西南,17000,科技园,整租,89.00
福田区,城中雅苑,3室1厅2卫,东南,14000,福田中心,整租,117.00
龙华区,金地天悦湾,4室2厅3卫,南 北,12000,观澜,整租,118.00
罗湖区,观山瑞苑,5室2厅2卫,南,11050,布心,整租,121.38
福田区,香荔花园,3室2厅2卫,南,12000,香蜜湖,整租,116.00
福田区,天健世纪花园,3室2厅2卫,东南,15500,福田中心,整租,130.00
福田区,星河国际花园,3室2厅1卫,南,16000,福田中心,整租,123.00
宝安区,华丰前海湾,4室2厅2卫,东南 西北,15000,碧海,整租,146.00
南山区,美加广场,4室2厅2卫,东南,16000,华侨城,整租,142.00
龙岗区,星河银湖谷,6室2厅2卫,南,17000,坂田,整租,166.00
南山区,英伦名苑三期,3室2厅1卫,南,12000,科技园,整租,98.00
福田区,新天CBC,3室1厅0卫,南,13000,石厦,整租,138.00
南山区,瑞思中心,未知室1厅0卫,东,13683,华侨城,整租,85.52
南山区,瑧湾汇,3室2厅2卫,东,14000,红树湾,整租,74.03
南山区,侨香诺园,4室2厅2卫,东南,18000,华侨城,整租,145.00
福田区,港丽豪园,3室2厅2卫,西北,14000,福田中心,整租,98.00
罗湖区,双御雅轩,4室2厅2卫,东南 南,13000,布心,整租,118.00
罗湖区,万达丰大厦,6室1厅3卫,南,13000,螺岭,整租,186.30
龙华区,华侨城创想大厦,2室2厅1卫,南,12000,红山,整租,90.00
罗湖区,天玺一号,3室1厅1卫,东 东南 南,12000,东门,整租,94.00
盐田区,君临海域,4室2厅2卫,东南,18000,沙头角,整租,220.00
南山区,前海东岸,2室2厅1卫,南,11550,南头,整租,76.00
南山区,城市印象,3室2厅1卫,东南,12000,南山中心,整租,98.00
宝安区,鸿荣源·壹方中心·玖誉,1室1厅1卫,东北,12000,宝安中心,整租,52.28
宝安区,泰华阳光海小区,3室2厅2卫,东南,12000,碧海,整租,127.00
罗湖区,逸翠园二期,4室2厅1卫,南,14300,百仕达,整租,139.85
南山区,康佳苑,3室2厅2卫,南,13000,华侨城,整租,151.00
南山区,颐湾府,3室2厅2卫,南,15000,前海,整租,119.86
南山区,鼎太风华一期,4室2厅2卫,东,16000,前海,整租,143.90
福田区,宝能公馆,2室1厅1卫,北,12000,竹子林,整租,72.00
南山区,中泰天成南山一品,3室2厅2卫,东南,12000,南山中心,整租,88.00
福田区,港丽豪园,3室2厅2卫,东南,15000,福田中心,整租,105.00
福田区,中洲湾-中洲滨海商业中心,3室1厅1卫,东 北 东北,12500,上下沙,整租,83.42
南山区,美庐锦园,3室2厅2卫,南,14000,红树湾,整租,115.00
南山区,科苑学里,3室2厅2卫,南,13000,科技园,整租,113.00
南山区,滨福庭园,3室2厅2卫,南,18000,科技园,整租,124.00
福田区,香格丽苑,3室2厅2卫,南,15000,香蜜湖,整租,114.00
宝安区,幸福海岸二期,4室2厅2卫,南,15000,宝安中心,整租,157.56
南山区,万科云城,4室2厅2卫,东南,13500,西丽,整租,134.00
罗湖区,幸福里雅居,3室2厅2卫,西南,17500,万象城,整租,143.00
福田区,核电花园,3室1厅1卫,东南,11500,百花,整租,93.00
罗湖区,幸福里雅居,2室1厅1卫,北,14000,万象城,整租,95.00
福田区,天健世纪花园,3室2厅2卫,东南,16500,福田中心,整租,117.00
福田区,黄埔雅苑四期,3室2厅2卫,北,15000,福田中心,整租,110.00
福田区,枫丹雅苑,4室2厅2卫,东南,13000,香蜜湖,整租,121.00
南山区,花园城三期,5室2厅2卫,南,18000,蛇口,整租,173.00
福田区,翠海花园一期,4室2厅2卫,南,15000,香蜜湖,整租,105.00
南山区,首地容御,2室1厅1卫,东,15000,华侨城,整租,88.00
南山区,中山颐景花园一期,6室2厅2卫,南 北,17000,南头,整租,204.00
福田区,深业中城,1室1厅1卫,南,17000,香蜜湖,整租,82.00
南山区,东方花园桂花苑,2室2厅2卫,南,14500,华侨城,整租,104.00
福田区,华强花园,3室2厅2卫,东南,13800,华强南,整租,142.12
罗湖区,兰亭国际名园,3室2厅2卫,北,12000,莲塘,整租,160.44
南山区,南海玫瑰花园二期,4室2厅2卫,东南,17000,蛇口,整租,129.00
南山区,荔海楼,3室2厅2卫,东南,13200,华侨城,整租,118.00
南山区,海怡东方花园,3室1厅1卫,东,16500,科技园,整租,127.00
福田区,碧海云天二期,3室2厅2卫,南,18000,竹子林,整租,155.00
南山区,阳光带海滨城二期,3室2厅2卫,东南,13800,科技园,整租,109.00
宝安区,西岸观邸,5室2厅2卫,东南,13000,宝安中心,整租,111.00
宝安区,新锦安海纳公馆,3室2厅2卫,东南,12000,宝安中心,整租,89.00
南山区,西海明珠花园,1室0厅0卫,南,13000,南山中心,整租,120.00
福田区,东海花园,3室2厅2卫,南,12000,香蜜湖,整租,123.00
南山区,世纪村二期,3室2厅2卫,东南,15000,红树湾,整租,138.00
南山区,诺德假日花园,4室2厅2卫,东南,13500,前海,整租,126.00
